"dcterms:type","dcterms:subject","dcterms:description","dcterms:date","dwc:taxonID","dwc:scientificName","dwc:scientificNameAuthorship","ala:nameComplete","dwc:nomenclaturalCode","dwc:taxonRank","dwc:taxonomicStatus","dwc:associatedTaxa","dwc:datasetID","ala:value"
"NOTE","taxonomy.load.placeholder","Name TCI[GTDB_ar122_taxonomy_r95:GTDB:750ff0523c6fd3681e0e6e881d0aa45c, Halococcus sp003021705, null, SPECIES, ACCEPTED] is a placeholder, treating as a unique name","2020-11-16T18:19:19.039+01:00","GTDB:750ff0523c6fd3681e0e6e881d0aa45c","Halococcus sp003021705","","Halococcus sp003021705","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.placeholder","Name TCI[GTDB_ar122_taxonomy_r95:GTDB:645f1bd26c5f721680cba2d1ef870968, Halococcus sp003022925, null, SPECIES, ACCEPTED] is a placeholder, treating as a unique name","2020-11-16T18:19:18.986+01:00","GTDB:645f1bd26c5f721680cba2d1ef870968","Halococcus sp003022925","","Halococcus sp003022925","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.placeholder","Name TCI[GTDB_ar122_taxonomy_r95:GTDB:af1d3ae155e02f6b1c477c6c180c9dce, Halococcus sp003021045, null, SPECIES, ACCEPTED] is a placeholder, treating as a unique name","2020-11-16T18:19:19.018+01:00","GTDB:af1d3ae155e02f6b1c477c6c180c9dce","Halococcus sp003021045","","Halococcus sp003021045","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.as_is","Difficult name TCI[GTDB_ar122_taxonomy_r95:GTDB:fc873175d73c6bcf8236afae2120b354, 40CM-2-53-6, null, GENUS, ACCEPTED] using as-is","2020-11-16T18:19:19.134+01:00","GTDB:fc873175d73c6bcf8236afae2120b354","40CM-2-53-6","","40CM-2-53-6","BC","genus","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.placeholder","Name TCI[GTDB_ar122_taxonomy_r95:GTDB:6f6b57f451247e72a0efb09cb7f19662, Halococcus sp003021235, null, SPECIES, ACCEPTED] is a placeholder, treating as a unique name","2020-11-16T18:19:19.001+01:00","GTDB:6f6b57f451247e72a0efb09cb7f19662","Halococcus sp003021235","","Halococcus sp003021235","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.placeholder","Name TCI[GTDB_ar122_taxonomy_r95:GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036, Halococcus sp003021725, null, SPECIES, ACCEPTED] is a placeholder, treating as a unique name","2020-11-16T18:19:19.056+01:00","GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036","Halococcus sp003021725","","Halococcus sp003021725","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.as_is","Difficult name TCI[GTDB_ar122_taxonomy_r95:GTDB:621087c4ab9945cee6a035ef6d98ffe0, BA-19 sp005888735, null, SPECIES, ACCEPTED] using as-is","2020-11-16T18:19:19.117+01:00","GTDB:621087c4ab9945cee6a035ef6d98ffe0","BA-19 sp005888735","","BA-19 sp005888735","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.placeholder","Name TCI[GTDB_ar122_taxonomy_r95:GTDB:448f0866e48ff45597b0413bbf6ff99a, Halococcus sp003022685, null, SPECIES, ACCEPTED] is a placeholder, treating as a unique name","2020-11-16T18:19:18.895+01:00","GTDB:448f0866e48ff45597b0413bbf6ff99a","Halococcus sp003022685","","Halococcus sp003022685","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.provider","Adding default name provider for {3}","2020-11-16T18:19:19.491+01:00",,,,,,,,,,"52a423d2-0486-4e77-bcee-6350d708d6ff"
"NOTE","taxonomy.load.provider","Adding default name provider for {3}","2020-11-16T18:19:19.461+01:00",,,,,,,,,,"d7dddbf4-2cf0-4f39-9b2a-bb099caae36c"
"NOTE","taxonomy.load.provider","Adding default name provider for {3}","2020-11-16T18:19:19.507+01:00",,,,,,,,,,"6cfd67d6-4f9b-400b-8549-1933ac27936f"
"NOTE","taxonomy.load.as_is","Difficult name TCI[GTDB_ar122_taxonomy_r95:GTDB:5ffcff3c373049003e3f11f8310562d9, BA-19, null, GENUS, ACCEPTED] using as-is","2020-11-16T18:19:19.194+01:00","GTDB:5ffcff3c373049003e3f11f8310562d9","BA-19","","BA-19","BC","genus","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.as_is","Difficult name TCI[GTDB_ar122_taxonomy_r95:GTDB:5f6eb2593ff132efdb54babe21306a62, 40CM-2-53-6, null, FAMILY, ACCEPTED] using as-is","2020-11-16T18:19:19.155+01:00","GTDB:5f6eb2593ff132efdb54babe21306a62","40CM-2-53-6","","40CM-2-53-6","BC","family","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.as_is","Difficult name TCI[GTDB_ar122_taxonomy_r95:GTDB:21a495723c3015eb5747d52df591c4e4, 40CM-2-53-6, null, ORDER, ACCEPTED] using as-is","2020-11-16T18:19:19.17+01:00","GTDB:21a495723c3015eb5747d52df591c4e4","40CM-2-53-6","","40CM-2-53-6","BC","order","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonomy.load.provider","Adding default name provider for {3}","2020-11-16T18:19:19.448+01:00",,,,,,,,,,"7ddf754f-d193-4cc9-b351-99906754a03b"
"NOTE","instance.validation.noParent.loose","Instance TCI[d7dddbf4-2cf0-4f39-9b2a-bb099caae36c:2, Archaea, null, KINGDOM, ACCEPTED] has no resolvable parent (loose provider, continuing)","2020-11-16T18:19:19.557+01:00","2","Archaea","","Archaea","","kingdom","accepted","","d7dddbf4-2cf0-4f39-9b2a-bb099caae36c",
"NOTE","taxonomy.load.as_is","Difficult name TCI[SBDI:ALA_The_Unknown_Taxon, The Unknown Taxon, null, UNRANKED, INFERRED_UNPLACED] using as-is","2020-11-16T18:19:19.529+01:00","ALA_The_Unknown_Taxon","The Unknown Taxon","","The Unknown Taxon","ICZN","unranked","inferredUnplaced","","SBDI",
"NOTE","name.homonym","Name HALOCOCCUS SACHAROLITICA is potential homonym","2020-11-16T18:19:19.582+01:00",,,,"HALOCOCCUS SACHAROLITICA",,,,,,
"NOTE","name.homonym","Name HALOCOCCUS SEDIMINICOLA is potential homonym","2020-11-16T18:19:19.574+01:00",,,,"HALOCOCCUS SEDIMINICOLA",,,,,,
"NOTE","name.homonym","Name HALOCOCCUS HAMELINENSIS is potential homonym","2020-11-16T18:19:19.589+01:00",,,,"HALOCOCCUS HAMELINENSIS",,,,,,
"NOTE","name.homonym","Name HALOCOCCUS TAILANDENSIS is potential homonym","2020-11-16T18:19:19.613+01:00",,,,"HALOCOCCUS TAILANDENSIS",,,,,,
"NOTE","name.homonym","Name HALOCOCCUS AGARILITICA is potential homonym","2020-11-16T18:19:19.605+01:00",,,,"HALOCOCCUS AGARILITICA",,,,,,
"NOTE","name.homonym","Name HALOBACTERIALES is potential homonym","2020-11-16T18:19:19.619+01:00",,,,"HALOBACTERIALES",,,,,,
"NOTE","name.homonym","Name HALOCOCCUS is potential homonym","2020-11-16T18:19:19.597+01:00",,,,"HALOCOCCUS",,,,,,
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOBACTERIOTA, null, PHYLUM = GTDB_ar122_taxonomy_r95:GTDB:954d967698aeef4631018dd65e3aff74] has no principals, using all instances","2020-11-16T18:19:19.688+01:00","GTDB:954d967698aeef4631018dd65e3aff74","HALOBACTERIOTA","","HALOBACTERIOTA","BC","phylum","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, ARCHAEA, null, KINGDOM = GTDB_ar122_taxonomy_r95:GTDB:cc5e4fc46959a70344a2d8744e1130a3] has no principals, using all instances","2020-11-16T18:19:19.671+01:00","GTDB:cc5e4fc46959a70344a2d8744e1130a3","ARCHAEA","","ARCHAEA","BC","kingdom","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, EURYARCHAEOTA, null, PHYLUM = 7ddf754f-d193-4cc9-b351-99906754a03b:24] has no principals, using all instances","2020-11-16T18:19:19.687+01:00","24","EURYARCHAEOTA","","EURYARCHAEOTA","","phylum","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, ARCHAEA, null, KINGDOM = d7dddbf4-2cf0-4f39-9b2a-bb099caae36c:2] has no principals, using all instances","2020-11-16T18:19:19.671+01:00","2","ARCHAEA","","ARCHAEA","","kingdom","accepted","","d7dddbf4-2cf0-4f39-9b2a-bb099caae36c",
"NOTE","name.homonym","Name HALOCOCCUS SALIFODINAE is potential homonym","2020-11-16T18:19:19.626+01:00",,,,"HALOCOCCUS SALIFODINAE",,,,,,
"NOTE","name.homonym","Name HALOCOCCUS MORUAE is potential homonym","2020-11-16T18:19:19.655+01:00",,,,"HALOCOCCUS MORUAE",,,,,,
"NOTE","name.homonym","Name HALOBACTERIA is potential homonym","2020-11-16T18:19:19.662+01:00",,,,"HALOBACTERIA",,,,,,
"NOTE","name.homonym","Name 40CM-2-53-6 is potential homonym","2020-11-16T18:19:19.633+01:00",,,,"40CM-2-53-6",,,,,,
"NOTE","name.homonym","Name ARCHAEA is potential homonym","2020-11-16T18:19:19.641+01:00",,,,"ARCHAEA",,,,,,
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOBACTERIALES, null, ORDER = GTDB_ar122_taxonomy_r95:GTDB:8626978989306ab5cc719a7a09acc9e7] has no principals, using all instances","2020-11-16T18:19:19.745+01:00","GTDB:8626978989306ab5cc719a7a09acc9e7","HALOBACTERIALES","","HALOBACTERIALES","BC","order","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, THERMOPROTEOTA, null, PHYLUM = GTDB_ar122_taxonomy_r95:GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b] has no principals, using all instances","2020-11-16T18:19:19.697+01:00","GTDB:2f3f32f832ba1b3f6259f8ceb5954f6b","THERMOPROTEOTA","","THERMOPROTEOTA","BC","phylum","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCACEAE, null, FAMILY = GTDB_ar122_taxonomy_r95:GTDB:951001dbf4a9d2357754322bf68d4225] has no principals, using all instances","2020-11-16T18:19:19.769+01:00","GTDB:951001dbf4a9d2357754322bf68d4225","HALOCOCCACEAE","","HALOCOCCACEAE","BC","family","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, BATHYARCHAEIA, null, CLASS = GTDB_ar122_taxonomy_r95:GTDB:ef05b06bf7dd205ff326f4e16d9588cd] has no principals, using all instances","2020-11-16T18:19:19.738+01:00","GTDB:ef05b06bf7dd205ff326f4e16d9588cd","BATHYARCHAEIA","","BATHYARCHAEIA","BC","class","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOBACTERIA, null, CLASS = GTDB_ar122_taxonomy_r95:GTDB:eab02f5b2eabe584134e2604571b6be6] has no principals, using all instances","2020-11-16T18:19:19.715+01:00","GTDB:eab02f5b2eabe584134e2604571b6be6","HALOBACTERIA","","HALOBACTERIA","BC","class","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, 40CM-2-53-6, null, FAMILY = GTDB_ar122_taxonomy_r95:GTDB:5f6eb2593ff132efdb54babe21306a62] has no principals, using all instances","2020-11-16T18:19:19.769+01:00","GTDB:5f6eb2593ff132efdb54babe21306a62","40CM-2-53-6","","40CM-2-53-6","BC","family","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, 40CM-2-53-6, null, ORDER = GTDB_ar122_taxonomy_r95:GTDB:21a495723c3015eb5747d52df591c4e4] has no principals, using all instances","2020-11-16T18:19:19.745+01:00","GTDB:21a495723c3015eb5747d52df591c4e4","40CM-2-53-6","","40CM-2-53-6","BC","order","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOBACTERIALES, null, ORDER = 7ddf754f-d193-4cc9-b351-99906754a03b:565] has no principals, using all instances","2020-11-16T18:19:19.762+01:00","565","HALOBACTERIALES","","HALOBACTERIALES","","order","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOBACTERIA, null, CLASS = 7ddf754f-d193-4cc9-b351-99906754a03b:160] has no principals, using all instances","2020-11-16T18:19:19.714+01:00","160","HALOBACTERIA","","HALOBACTERIA","","class","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS SEDIMINICOLA, ""Yim et al., 2014"", SPECIES = 52a423d2-0486-4e77-bcee-6350d708d6ff:7800119] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","7800119","HALOCOCCUS SEDIMINICOLA","""Yim et al., 2014""","HALOCOCCUS SEDIMINICOLA ""Yim et al., 2014""","","species","accepted","","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SP003021705, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:750ff0523c6fd3681e0e6e881d0aa45c] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","GTDB:750ff0523c6fd3681e0e6e881d0aa45c","HALOCOCCUS SP003021705","","HALOCOCCUS SP003021705","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SP003022925, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:645f1bd26c5f721680cba2d1ef870968] has no principals, using all instances","2020-11-16T18:19:19.855+01:00","GTDB:645f1bd26c5f721680cba2d1ef870968","HALOCOCCUS SP003022925","","HALOCOCCUS SP003022925","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, BA-19 SP005888735, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:621087c4ab9945cee6a035ef6d98ffe0] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","GTDB:621087c4ab9945cee6a035ef6d98ffe0","BA-19 SP005888735","","BA-19 SP005888735","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS, ""Schoop, 1935"", GENUS = 7ddf754f-d193-4cc9-b351-99906754a03b:1000165] has no principals, using all instances","2020-11-16T18:19:19.792+01:00","1000165","HALOCOCCUS","""Schoop, 1935""","HALOCOCCUS ""Schoop, 1935""","","genus","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, 40CM-2-53-6, null, GENUS = GTDB_ar122_taxonomy_r95:GTDB:fc873175d73c6bcf8236afae2120b354] has no principals, using all instances","2020-11-16T18:19:19.793+01:00","GTDB:fc873175d73c6bcf8236afae2120b354","40CM-2-53-6","","40CM-2-53-6","BC","genus","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS, null, GENUS = GTDB_ar122_taxonomy_r95:GTDB:4e52b04254ef3b16c6b0577657129ce3] has no principals, using all instances","2020-11-16T18:19:19.816+01:00","GTDB:4e52b04254ef3b16c6b0577657129ce3","HALOCOCCUS","","HALOCOCCUS","BC","genus","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, BA-19, null, GENUS = GTDB_ar122_taxonomy_r95:GTDB:5ffcff3c373049003e3f11f8310562d9] has no principals, using all instances","2020-11-16T18:19:19.793+01:00","GTDB:5ffcff3c373049003e3f11f8310562d9","BA-19","","BA-19","BC","genus","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOBACTERIACEAE, null, FAMILY = 7ddf754f-d193-4cc9-b351-99906754a03b:3802] has no principals, using all instances","2020-11-16T18:19:19.785+01:00","3802","HALOBACTERIACEAE","","HALOBACTERIACEAE","","family","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS DOMBROWSKI, ""Stan-Lotter et al., 2002"", SPECIES = 7ddf754f-d193-4cc9-b351-99906754a03b:4983781] has no principals, using all instances","2020-11-16T18:19:19.872+01:00","4983781","HALOCOCCUS DOMBROWSKI","""Stan-Lotter et al., 2002""","HALOCOCCUS DOMBROWSKI ""Stan-Lotter et al., 2002""","","species","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS AGARILITICA, ""Minegishi et al., 2015"", SPECIES = 52a423d2-0486-4e77-bcee-6350d708d6ff:7698467] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","7698467","HALOCOCCUS AGARILITICA","""Minegishi et al., 2015""","HALOCOCCUS AGARILITICA ""Minegishi et al., 2015""","","species","accepted","","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS SALIFODINAE, ""Denner et al., 1994"", SPECIES = 7ddf754f-d193-4cc9-b351-99906754a03b:4983777] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","4983777","HALOCOCCUS SALIFODINAE","""Denner et al., 1994""","HALOCOCCUS SALIFODINAE ""Denner et al., 1994""","","species","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS HAMELINENSIS, ""Goh et al., 2006"", SPECIES = 7ddf754f-d193-4cc9-b351-99906754a03b:4983779] has no principals, using all instances","2020-11-16T18:19:19.899+01:00","4983779","HALOCOCCUS HAMELINENSIS","""Goh et al., 2006""","HALOCOCCUS HAMELINENSIS ""Goh et al., 2006""","","species","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS TAILANDENSIS, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:6a637e69b3c9357813d0f0ae50b79af2] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","GTDB:6a637e69b3c9357813d0f0ae50b79af2","HALOCOCCUS TAILANDENSIS","","HALOCOCCUS TAILANDENSIS","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, 40CM-2-53-6 SP005882905, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:30109b6cd267baaf9eef08ebcf10813c] has no principals, using all instances","2020-11-16T18:19:19.906+01:00","GTDB:30109b6cd267baaf9eef08ebcf10813c","40CM-2-53-6 SP005882905","","40CM-2-53-6 SP005882905","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SP003022685, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:448f0866e48ff45597b0413bbf6ff99a] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","GTDB:448f0866e48ff45597b0413bbf6ff99a","HALOCOCCUS SP003022685","","HALOCOCCUS SP003022685","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SP003021235, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:6f6b57f451247e72a0efb09cb7f19662] has no principals, using all instances","2020-11-16T18:19:19.892+01:00","GTDB:6f6b57f451247e72a0efb09cb7f19662","HALOCOCCUS SP003021235","","HALOCOCCUS SP003021235","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS ACETOINFACIENS, null, SPECIES = 6cfd67d6-4f9b-400b-8549-1933ac27936f:9191210] has no principals, using all instances","2020-11-16T18:19:19.831+01:00","9191210","HALOCOCCUS ACETOINFACIENS","","HALOCOCCUS ACETOINFACIENS","","species","accepted","","6cfd67d6-4f9b-400b-8549-1933ac27936f",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS MORUAE, ""Kocur & Hodgkiss, 1973 (Farlow, 1880)"", SPECIES = 7ddf754f-d193-4cc9-b351-99906754a03b:4983780] has no principals, using all instances","2020-11-16T18:19:19.882+01:00","4983780","HALOCOCCUS MORUAE","""Kocur & Hodgkiss, 1973 (Farlow, 1880)""","HALOCOCCUS MORUAE ""Kocur & Hodgkiss, 1973 (Farlow, 1880)""","","species","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS TAILANDENSIS, ""Namwong et al., 2007"", SPECIES = 7ddf754f-d193-4cc9-b351-99906754a03b:7544901] has no principals, using all instances","2020-11-16T18:19:19.864+01:00","7544901","HALOCOCCUS TAILANDENSIS","""Namwong et al., 2007""","HALOCOCCUS TAILANDENSIS ""Namwong et al., 2007""","","species","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SEDIMINICOLA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:b3d99722b65c67582032bc0ba6bd4197] has no principals, using all instances","2020-11-16T18:19:19.847+01:00","GTDB:b3d99722b65c67582032bc0ba6bd4197","HALOCOCCUS SEDIMINICOLA","","HALOCOCCUS SEDIMINICOLA","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SALIFODINAE, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:93f30bca56a26bd85707cc771ca6dadc] has no principals, using all instances","2020-11-16T18:19:19.942+01:00","GTDB:93f30bca56a26bd85707cc771ca6dadc","HALOCOCCUS SALIFODINAE","","HALOCOCCUS SALIFODINAE","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SP003021725, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036] has no principals, using all instances","2020-11-16T18:19:19.965+01:00","GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036","HALOCOCCUS SP003021725","","HALOCOCCUS SP003021725","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SP003602035, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:97e5d1c59233e0c0198af7a55e9ec1cd] has no principals, using all instances","2020-11-16T18:19:19.839+01:00","GTDB:97e5d1c59233e0c0198af7a55e9ec1cd","HALOCOCCUS SP003602035","","HALOCOCCUS SP003602035","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS AGARILITICA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:ef9cde04e9cf497c66e3c7d59bb23da7] has no principals, using all instances","2020-11-16T18:19:19.972+01:00","GTDB:ef9cde04e9cf497c66e3c7d59bb23da7","HALOCOCCUS AGARILITICA","","HALOCOCCUS AGARILITICA","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS MORUAE, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:b17191f882f8d78f73e574c6432c5b80] has no principals, using all instances","2020-11-16T18:19:19.951+01:00","GTDB:b17191f882f8d78f73e574c6432c5b80","HALOCOCCUS MORUAE","","HALOCOCCUS MORUAE","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS AGLOMERATA, null, SPECIES = 6cfd67d6-4f9b-400b-8549-1933ac27936f:8797143] has no principals, using all instances","2020-11-16T18:19:19.986+01:00","8797143","HALOCOCCUS AGLOMERATA","","HALOCOCCUS AGLOMERATA","","species","accepted","","6cfd67d6-4f9b-400b-8549-1933ac27936f",
